Drug,geneName,log2FoldChange,padj no NA
Enzalutamide,BX284668.6,-0.346045695,1
Enzalutamide,ATP13A2,0.008327317,1
Enzalutamide,SDHB,-0.014707285,1
Enzalutamide,PADI2,-0.114787547,1
Enzalutamide,PADI1,-0.002026217,1
Enzalutamide,PADI3,1.857871043,1
Enzalutamide,PADI6,-0.954645845,1
Enzalutamide,RCC2,-0.002817507,1
Enzalutamide,ARHGEF10L,-0.068271191,1
Enzalutamide,ACTL8,-0.080668783,1
Enzalutamide,IGSF21,0,1
Enzalutamide,KLHDC7A,2.880788656,1
Enzalutamide,PAX7,1.828076577,1
Enzalutamide,ALDH4A1,-0.187416474,1
Enzalutamide,IFFO2,-0.044918002,1
Enzalutamide,AL137127.1,-0.270864426,1
Enzalutamide,UBR4,0.019712128,1
Enzalutamide,AL035413.1,0.419760081,1
Enzalutamide,EMC1,-0.002316259,1
Enzalutamide,MRTO4,-0.086761363,1
Enzalutamide,AKR7L,-0.005485546,1
Enzalutamide,AKR7A3,-0.87430369,1
Enzalutamide,AL035413.2,-0.046036882,1
Enzalutamide,AKR7A2,-0.130092622,1
Enzalutamide,RNU6-1099P,0.542794006,1
Enzalutamide,PQLC2,-0.12100054,1
Enzalutamide,CAPZB,-0.086930444,1
Enzalutamide,MINOS1,-0.030290295,1
Enzalutamide,NBL1,-1.661611306,0.144961191
Enzalutamide,AL031727.1,-0.132272891,1
Enzalutamide,HTR6,-0.826963173,1
Enzalutamide,TMCO4,-0.061505079,1
Enzalutamide,OTUD3,0.26590759,1
Enzalutamide,PLA2G2A,0.154364149,1
Enzalutamide,PLA2G5,-0.297726176,1
Enzalutamide,PLA2G2F,0.429509467,1
Enzalutamide,Z98257.1,0.897000838,1
Enzalutamide,UBXN10,0.799319935,1
Enzalutamide,Z98257.2,0.969284244,1
Enzalutamide,VWA5B1,0.700278569,1
Enzalutamide,LINC01141,0.399831957,1
Enzalutamide,CAMK2N1,0.312141607,0.005045481
Enzalutamide,MUL1,-0.003713175,1
Enzalutamide,FAM43B,-0.895125296,1
Enzalutamide,CDA,-2.439520774,1
Enzalutamide,PINK1,-0.047235061,1
Enzalutamide,PINK1-AS,-0.142091298,1
Enzalutamide,DDOST,-0.063952785,1
Enzalutamide,KIF17,0.387168877,1
Enzalutamide,SH2D5,-0.323390251,1
Enzalutamide,HP1BP3,0.03485204,1
Enzalutamide,EIF4G3,-0.132026463,1
Enzalutamide,ECE1,-0.053610477,1
Enzalutamide,PPP1R11P1,0.007140036,1
Enzalutamide,NBPF2P,-0.673075916,1
Enzalutamide,HS6ST1P1,-0.163745109,1
Enzalutamide,NBPF3,0.213010843,1
Enzalutamide,ALPL,0.33047937,1
Enzalutamide,RAP1GAP,0.058745786,1
Enzalutamide,USP48,0.017538313,1
Enzalutamide,HSPG2,0.063566402,1
Enzalutamide,AL590556.1,0.010003393,1
Enzalutamide,AL590556.2,1.80973912,1
Enzalutamide,CELA3B,-1.473807613,1
Enzalutamide,LINC01635,0.500442321,1
Enzalutamide,LINC00339,0.226401701,1
Enzalutamide,AL031281.2,-0.433827609,1
Enzalutamide,AL031281.3,-0.890709076,1
Enzalutamide,CDC42,-0.08685903,1
Enzalutamide,WNT4,0.074927156,1
Enzalutamide,AL445253.1,0.51957089,1
