canonical_smiles,pert_id,dummy
C[C@]12C[C@H](O)C3C(CCC4=CC(=O)CC[C@]34C)C1CC[C@]2(O)C(=O)COC(=O)CCC(O)=O,BRD-A07000685,1
CC(C)[N+]1(C)C2CC[C@@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,BRD-A07029265,1
NC(Cc1c[nH]c2ccccc12)C(=O)O,BRD-A07106394,1
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,BRD-A07395371,1
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(c1)C(N)=O,BRD-A07440155,1
CCOc1ccc(cc1)C(Nc2cccnc2)c3cc(Cl)c4cccnc4c3O,BRD-A07614565,1
CNCC(O)c1ccc(O)c(O)c1,BRD-A07765530,1
CC(C)NCC(O)c1cc(O)cc(O)c1,BRD-A07780951,1
O=C1CC(Oc2ccccc12)c3ccccc3,BRD-A07824748,1
COCCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OCC=Cc3ccccc3)C,BRD-A07875874,1
NC(CCC(O)=O)C=C,BRD-A07893380,1
CSc1ccc2Sc3ccccc3CC(N3CCN(C)CC3)c2c1,BRD-A07932845,1
CCC(C)C(=O)c1c(O)c(C)c2oc3c(C)c(O)c(C(=O)C(C)CC)c(O)c3c2c1O,BRD-A08003242,1
CC(CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,BRD-A08027849,1
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,BRD-A08062015,1
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,BRD-A08187463,1
NC(Cc1ccc(cc1)N(CCCl)CCCl)C(O)=O,BRD-A08200164,1
CC(Cc1ccccc1)N(C)Cc1c(C(C)C)c(=O)n(-c2ccccc2)n1C,BRD-A08255417,1
CCOC(=O)CCCC(=O)Nc1ncnc2Oc3ccc4ccccc4c3C(c5ccccc5)c12,BRD-A08610364,1
CC1CC(=O)NN=C1c1ccc(F)c(F)c1,BRD-A08658758,1
CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,BRD-A08660406,1
CNC(C)C(=O)NC(C(C)C)C(=O)N1CCCC1C(=O)Nc1cccc2ncccc12,BRD-A08662020,1
CO[C@H](C)C(O)(C(C)C)C(=O)OCC1=CCN2CC[C@H](O)[C@H]21,BRD-A08709697,1
CCCC(O)C#Cc1cnc2O[C@@H](CN(C)C(=O)Nc3ccc4OCOc4c3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1,BRD-A08778300,1
COC1=CC23CCCN3CCc4cc5OCOc5cc4C2C1O,BRD-A08877921,1
NC(Cc1cc(O)c(O)cc1Cl)C(O)=O,BRD-A09053961,1
COc1cc2nc(nc(N)c2cc1OC)N(C)CCCNC(=O)C1CCCO1,BRD-A09056319,1
CCC(C)(CN(C)C)OC(=O)c1ccccc1,BRD-A09062839,1
CN(C)CCC[N+]1([O-])c2ccccc2Sc2ccc(Cl)cc12,BRD-A09073503,1
O=C1CC2OCC=C3CN4CC[C@@]56C4C[C@@H]3[C@@H]2C5N1c1ccccc61,BRD-A09094913,1
CC(=O)O[C@@H]1CC(=O)OC(C)(C)C2CC(=O)[C@]3(C)C(CC[C@@]4(C)[C@@H](OC(=O)[C@H]5O[C@]543)c6ccoc6)[C@]21C,BRD-A09161221,1
Cc1cc(C)c(OCC(O)CNC(C)(C)C)c(C)c1,BRD-A09164687,1
OC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)/C=C/c3ccccn3,BRD-A09186529,1
CC(=O)O[C@]1(CCC2C3CCC4=CC(=O)CC[C@@H]4C3CC[C@@]21C)C#C,BRD-A09349126,1
CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1,BRD-A09467419,1
FC(F)(F)COc1ccc(OCC(F)(F)F)c(c1)C(=O)NCC1CCCCN1,BRD-A09472452,1
CN1CCc2cc3OCOc3cc2[C@H]1C4OC(=O)c5c6OCOc6ccc45,BRD-A09495397,1
COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC,BRD-A09533288,1
CN1C2CC[C@H]1C[C@H](C2)OC(=O)C(O)c1ccccc1,BRD-A09539288,1
CCC(OC(=O)c1ccc(c(c1)[N+]([O-])=O)S(C)(=O)=O)C(=O)NC1C2CC3CC(C2)CC1C3,BRD-A09719808,1
ClCCN(CCCl)P1(=O)NCCCO1,BRD-A09722536,1
C[C@]1(CCC[C@]2(C)[C@H]3CC(O)[C@](C)(C=C)C=C3CC[C@@H]12)C(=O)O,BRD-A09749088,1
Oc1cc2C(CNCCc2c(Cl)c1O)c1ccccc1,BRD-A09828896,1
CCNCC(O)c1cccc(O)c1,BRD-A09925278,1
CSC1=C(C#N)C(=O)NC(S1)c2ccc(Cl)cc2,BRD-A09984573,1
CC(C)NCC(O)COc1cccc2ccccc12,BRD-A10070317,1
C[C@@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,BRD-A10188456,1
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC4OC(=O)c5ccccc45,BRD-A10303790,1
Clc1ccc(Cn2cc(NC(=S)NCC3CCCO3)cn2)cc1,BRD-A10330754,1
NC1(CCCCC1=O)c2ccccc2Cl,BRD-A10355991,1
OCC(O)C1OC(=O)C(=O)C1O,BRD-A10386413,1
COc1cc(CC(O)CO)ccc1O,BRD-A10396145,1
CC(=O)C1C(=O)[C@@H]2[C@@H]3[C@@H](Cc4cccc5[nH]cc3c45)C(C)(C)N2C1=O,BRD-A10420615,1
CC1=C(C(CC(=O)N1)c1ccc(cc1)C(F)(F)F)C(=O)Nc1cc2cn[nH]c2cc1F,BRD-A10523515,1
CC1(C)S[C@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)OC1OC(=O)c2ccccc12,BRD-A10606614,1
CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1,BRD-A10662413,1
CCN1CCC(CNC(=O)c2cc(ccc2OC)S(=O)(=O)N)C1,BRD-A10715913,1
CCn1ccnc1CC1COc2ccccc2O1,BRD-A10903566,1
CO[C@@H]1CC2N3CC(O)C2(C=C1)c4cc5OCOc5c(OC)c4C3,BRD-A10969569,1
COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,BRD-A10977446,1
O=C1c2ccccc2C(NC2CCCCC2)\C1=C\c1ccccc1,BRD-A11007541,1
CN1CCc2cc(Br)c(O)cc2C(C1)c1ccc(cc1)N(CCCl)CCCl,BRD-A11009626,1
CC(Nc1ncnc2ccc(cc12)c3c(C)noc3C)c4ccco4,BRD-A11087911,1
O=C(N(C(=O)c1ccccc1)c2ncnc3Oc4ccc5ccccc5c4C(c6ccccc6)c23)c7ccccc7,BRD-A11095214,1
NC(=O)c1ccc[n+](c1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)n2cnc3c(N)ncnc23)[C@@H](O)[C@H]1O,BRD-A11132253,1
