TCGA Up,TCGA Up Name,VPC Up,TCGA Down,TCGA Down Name,VPC Down,Consensus Up,Consensus Down
646243,CXADRP2,,11149,BVES,,,
3627,CXCL10,,414152,C10orf105,,,
6373,CXCL11,,414235,C10orf108,,,
4283,CXCL9,,10974,C10orf116,,,
84663,CYorf15B,,387640,C10orf140,,,
1565,CYP2D6,,414236,C10orf55,,,
1564,CYP2D7P1,,196740,C10orf72,,,
1573,CYP2J2,,143379,C10orf82,,,
1617,DAZ1,,255352,C10orf93,,,
79007,DBNDD1,,387695,C10orf99,,,
127579,DCST2,,219833,C11orf45,,,
55789,DEPDC1B,,85016,C11orf70,,,
26220,DGCR5,,399947,C11orf87,,,
25787,DGCR9,,120376,C11orf93,,,
81624,DIAPH3,,387882,C12orf75,,,
1733,DIO1,,728591,C13orf38,,,
9787,DLGAP5,,56967,C14orf132,,,
10683,DLL3,,80017,C14orf159,,,
1745,DLX1,,643382,C14orf176,,,
1746,DLX2,,400258,C14orf180,,,
1767,DNAH5,,145407,C14orf37,,,
1769,DNAH8,,161176,C14orf49,,,
85479,DNAJC5B,,388011,C14orf64,,,
1773,DNASE1,,84529,C15orf41,,,
1775,DNASE1L2,,196968,C15orf51,,,
58511,DNASE2B,,388135,C15orf59,,,
1824,DSC2,,89927,C16orf45,,,
64118,DUS1L,,404550,C16orf74,,,
1870,E2F2,,146556,C16orf89,,,
64641,EBF2,,374864,C18orf34,,,
283229,EFCAB4A,,64073,C19orf33,,,
1961,EGR4,,55765,C1orf106,,,
1993,ELAVL2,,57821,C1orf114,,,
114794,ELFN2,,200197,C1orf126,,,
80237,ELL3,,400746,C1orf130,,,
54898,ELOVL2,,374977,C1orf175,,,
197342,EME2,,55924,C1orf183,,,
2020,EN2,,440712,C1orf186,,,
957,ENTPD5,,541468,C1orf190,,,
4072,EPCAM,,148523,C1orf51,,,
284656,EPHA10,,375057,C1orf95,,,
2046,EPHA8,,10882,C1QL1,,,
8475,EPR1,,338761,C1QL4,,,
54821,ERCC6L,,114897,C1QTNF1,,,
2078,ERG,,25943,C20orf194,,,
9700,ESPL1,,253868,C20orf200,,,
80004,ESRP2,,140828,C20orf56,,,
9156,EXO1,,56245,C21orf62,,,
2146,EZH2,,114041,C21orf88,,,
2161,F12,,84645,C22orf23,,,
2151,F2RL2,,84417,C2orf40,,,
2153,F5,,60526,C2orf43,,,
2171,FABP5,,388939,C2orf71,,,
